player,recent_form,surface_winrate
Patrik Jarestrand,0.73,0.8
Ervin Eleskovic,0.75,0.93
Lassi Ketola,0.55,0.87
Pierrick Ysern,0.9,0.91
Carlos Rios,0.45,0.8
Robert Farah,0.48,0.85
Carlos Alvarez,0.85,0.56
Diego Camacho,0.46,0.77
Michael Kogan,0.59,0.51
Tom Burn,0.77,0.44
Victor Mugurel Anagnastopol,0.8,0.72
Evgeny Korolev,0.88,0.83
Laurent Hild,0.79,0.45
Christopher Lam,0.82,0.5
Sam Querrey,0.87,0.45
Clancy Shields,0.68,0.75
Douglas Stewart,0.57,0.44
Martijn Van Haasteren,0.78,0.45
Michael Staniak,0.48,0.55
Callum Beale,0.43,0.55
Christopher Roman,0.79,0.71
Matthew Brown,0.88,0.42
Josh Goodall,0.62,0.74
Clemens Breuss,0.48,0.63
Gordan Peranec,0.65,0.5
Filip Polasek,0.6,0.76
Boris Kukoc,0.59,0.58
Anze Kapun,0.71,0.86
Adam Feeney,0.49,0.94
Mark Way,0.59,0.83
Daniel Byrnes,0.83,0.81
Romano Frantzen,0.76,0.6
Fabio Fognini,0.43,0.69
Tom Rushby,0.66,0.43
Paulo Freitas,0.45,0.8
Petar Popovic,0.88,0.77
Leandro Migani,0.52,0.55
Benjamin Ebrahimzadeh,0.87,0.69
Daniel Isaza,0.82,0.77
Santiago Giraldo,0.68,0.6
Horacio Zeballos,0.57,0.8
Kevin Deden,0.83,0.84
Juan Jose Hamdan,0.48,0.52
Marc Harenberg,0.49,0.57
Kile Sherry,0.51,0.62
Karol Galik,0.7,0.53
Zacharias Katsigiannakis,0.56,0.83
Marcos Felipe Arend,0.89,0.71
Juan Pablo Amado,0.5,0.61
Robert Loncaric,0.8,0.41
Nikola Martinovic,0.45,0.58
Christopher Clayton,0.58,0.86
Alex Kuznetsov,0.52,0.81
Ryan Haymond,0.89,0.44
Christian Blocker,0.41,0.84
Lawal Shehu,0.76,0.5
Matthias Wellermann,0.52,0.94
Paul Ciorascu,0.81,0.88
Ryan Newport,0.56,0.9
Sergio Ramirez,0.49,0.82
Daniel Vallverdu,0.75,0.79
Juan De Armas,0.53,0.53
Enrique Olivares,0.64,0.72
Piero Luisi,0.47,0.78
Chris Letcher,0.76,0.56
Fotis Fotakis,0.6,0.62
Mark Logger,0.47,0.92
Adam Kellner,0.77,0.62
Javier Ferrin Kranewitter,0.45,0.57
Timothy Patient,0.69,0.46
Kevin Anderson,0.7,0.59
Petr Olsak,0.87,0.74
Clinton Thomson,0.48,0.48
Lado Chikhladze,0.73,0.73
Julien Onclin,0.59,0.81
Roger Lacaci Dominguez,0.6,0.82
Dennis Biggemann,0.65,0.94
Nigel Badza,0.52,0.64
Vladimir Portnov,0.63,0.42
Michael Kurz,0.74,0.87
Vincent Baudat,0.63,0.45
Brandon Fallon,0.42,0.87
Sebastian Schluter,0.53,0.94
Romano Tatuhey,0.58,0.9
Yaroslav Sorokin,0.58,0.93
Scott Oudsema,0.44,0.41
Zhe Li,0.62,0.41
Bo Ye,0.75,0.52
Tushar Liberhan,0.42,0.84
Dmitro Tolok,0.78,0.45
Carl Thorsen,0.88,0.81
David To,0.4,0.41
Jose Luis Muguruza,0.5,0.8
Huai En Chang,0.67,0.54
Chu Huan Yi,0.51,0.64
Eduard Khan,0.78,0.94
Guillermo Alcaide,0.56,0.7
Jamie Baker,0.55,0.44
David Ollivier Baquero,0.4,0.88
Jesse Huta Galung,0.54,0.58
David Serrano Gamez,0.51,0.72
Pedro Clar Rossello,0.57,0.79
Phillip Simmonds,0.47,0.83
Floris Kilian,0.7,0.64
Jaime Cuellar,0.52,0.83
Federico Sansonetti,0.82,0.46
Pablo Cuevas,0.54,0.69
Ricardo Gonzalez Diaz,0.51,0.41
Jerome Becker,0.43,0.62
David Stojan,0.77,0.6
Peter Steinberger,0.65,0.94
Marin Cilic,0.46,0.62
Marek Sramek,0.51,0.9
Benjamin Dracos,0.9,0.64
Dylan Seong Kwan Kim,0.8,0.69
Thomas Holzmann,0.57,0.59
Mio Puhanic,0.67,0.75
Bart Scott,0.61,0.81
Renan Delsin,0.42,0.84
Yuri Bezeruk,0.79,0.78
Adam Fass,0.76,0.58
Martin Alund,0.6,0.58
Bruno Rosa,0.82,0.59
Christian Kern,0.67,0.42
Eric Kuijlen,0.43,0.92
Mislav Hizak,0.53,0.51
Oscar Bustos,0.63,0.49
William Ward,0.45,0.7
Scoville Jenkins,0.69,0.43
Jose Pires Da Silva,0.46,0.86
Miguel Angel Reyes Varela,0.5,0.88
Carlos Palencia,0.85,0.62
Jacob Melskens,0.9,0.93
Oskar Pallin,0.68,0.58
Jonas Berg,0.71,0.54
Mikael Ekman,0.8,0.94
Laurent Bondaz,0.75,0.54
Rodrigo Antonio Grilli,0.49,0.64
Jamal Parker,0.61,0.74
Gary Sacks,0.67,0.58
Michael Ray Pallares Gonzalez,0.58,0.61
Patrick Tierro,0.49,0.8
Saeid Ahmadvand,0.77,0.8
Olivier Sajous,0.5,0.84
Luis Haddock,0.53,0.73
Jorge Garcia Marin,0.54,0.53
Haluk Akkoyun,0.48,0.58
Matthias Bachinger,0.82,0.9
Hyung Tae Kwon,0.71,0.8
Matthew Prentice,0.82,0.45
Gianluca Naso,0.65,0.81
Nick Cavaday,0.66,0.58
Mohammed Abdulla,0.71,0.41
Konstantin Kremeshkov,0.59,0.67
Marc Chiva Anton,0.65,0.89
Pere Riba,0.67,0.64
Jaume Barberan Miquel,0.88,0.94
Roberto Velilla Jerez,0.84,0.5
Nikita Kryvonos,0.46,0.59
Carlos Gomez Ferre,0.42,0.41
Kiril Dimitrov,0.74,0.43
Jay Salter,0.42,0.59
Albano Galan,0.43,0.69
Antoan Gerginov,0.48,0.53
Leonardo Moreira,0.58,0.49
Miles Kasiri,0.62,0.63
Vide Konjevod,0.66,0.49
Eric Gomes,0.9,0.75
Bram Ten Berge,0.59,0.93
Juan Miguel Such Perez,0.52,0.84
Denis Istomin,0.69,0.52
Robert Cameron,0.51,0.92
Eric Scharf,0.87,0.81
Domagoj Sekosan,0.53,0.49
Juan Martin del Potro,0.89,0.72
Matus Horecny,0.61,0.93
Mohamed Nashaat,0.81,0.45
Stefan Bogdan Borta,0.72,0.55
Alberto Cornelio Martinez,0.87,0.61
Abdul Rahman Shehab,0.71,0.46
Troy Hahn,0.69,0.56
Goran Belosevic,0.73,0.78
Daniel Wendler,0.79,0.66
Marco Crugnola,0.85,0.63
Daniel Plasa,0.53,0.64
Marcin Maszczyk,0.5,0.82
Aleksandar Grubin,0.42,0.95
Zlatan Kadric,0.59,0.72
Milos Drakulic,0.82,0.81
Dusan Lojda,0.43,0.6
Lukas Lacko,0.67,0.87
Lukas Marsoun,0.75,0.63
Amir Mohamed Ebrahim Bayoumi,0.82,0.91
Daniel Stoehr,0.69,0.81
James Lloyd,0.49,0.79
Marcel Zimmermann,0.88,0.56
Rodrigo Guidolin,0.45,0.84
Michal Domanski,0.78,0.46
Kevin Abele,0.44,0.7
Bas Van Der Valk,0.47,0.8
Tonci Peric,0.85,0.89
Massimo Bosa,0.78,0.71
Mohammed Abdel Aziz Al Nuaimi,0.58,0.54
Mohammed Mohazebnia,0.72,0.87
Jochen Matschke,0.63,0.82
Grega Zemlja,0.43,0.48
Milan Krnjetin,0.76,0.88
Milan Mihailovic,0.78,0.93
Dejan Katic,0.84,0.7
Wrik Ganguly,0.67,0.42
Rahil Syed,0.74,0.9
Luke Campbell,0.62,0.47
Mat Lowe,0.56,0.75
Ravi Shankar Pathanjali,0.61,0.62
Shahzad Khan,0.86,0.95
Marco Moretto,0.48,0.9
Johan Brunstrom,0.52,0.83
Andreas Da Cunha Bang,0.7,0.51
Andrew Piotrowski,0.46,0.78
Peter Polansky,0.85,0.71
Tommaso Cafferata,0.42,0.47
Patrick Sebastiani,0.78,0.84
Narcis Pelach Torres,0.59,0.45
Jaume Farras Mascaro,0.43,0.66
Marcus Berntson,0.82,0.63
Richard Johnson,0.72,0.84
Jonathan Chu,0.4,0.64
Milan Pokrajac,0.53,0.78
Arvid Puranen,0.58,0.66
Tobias Kamke,0.56,0.72
Enrico Burzi,0.65,0.53
Ivan Sergeyev,0.66,0.51
Tom Dennhardt,0.6,0.79
Dominik Muller,0.57,0.47
Nickolai Linde Nielsen,0.65,0.5
Frank Potthoff,0.42,0.92
Bogdan Nitescu,0.72,0.54
Cristobal Aguirre,0.7,0.58
Todd Paul,0.54,0.75
Jose Rubin Statham,0.49,0.64
Roman Borvanov,0.44,0.71
Bruno Agostinelli,0.69,0.48
Vladimir Levin,0.68,0.77
Erik Chvojka,0.67,0.49
Eric Claesson,0.89,0.81
Claes Lindholm,0.67,0.69
Mikhail Vasiliev,0.76,0.85
Felipe Fingerl,0.46,0.49
Dmitri Gurichev,0.55,0.61
Jean Baptiste Robin,0.54,0.87
Willem Hornikx,0.69,0.84
Thomas Kromann,0.57,0.93
Victor Stanica,0.72,0.52
Ignacio Coll Riudavets,0.75,0.7
Pablo Andujar,0.42,0.41
Jeremy Chardy,0.72,0.93
Matthew Scott,0.46,0.5
Theodor Devoty,0.63,0.9
Matias Silva,0.76,0.77
Andrea Turini,0.75,0.92
Julian Reister,0.55,0.54
Ivan Vukovic,0.54,0.59
Jorge Hernando Ruano,0.62,0.49
Juho Paukku,0.49,0.63
Bela Mozes,0.89,0.92
Ognian Kolev,0.57,0.71
Claudio Grassi,0.86,0.63
David Navarrete,0.85,0.58
Vincent Millot,0.58,0.72
Konstantin Kravchuk,0.53,0.8
Candy Idoko,0.79,0.62
Loic Didavi,0.51,0.53
Albert Ramos,0.66,0.72
Manuel Bolanos Salvador,0.46,0.6
Syrym Abdukhalikov,0.59,0.95
Malte Masuth,0.44,0.64
Michael Godwin,0.54,0.64
Ordan Van Der Werf,0.73,0.86
Daniel Caiado,0.9,0.54
Aliaksei Kandakou,0.53,0.44
Roman Recarte,0.64,0.87
Roberto Maytin,0.62,0.72
Julio Cesar Campozano,0.49,0.54
Nikki Peel,0.71,0.59
Saar Steele,0.76,0.63
Ibukun Ilesanmi,0.47,0.77
Devin Mullings,0.78,0.66
Jorge Montesinos Perales,0.75,0.62
Simon Roberts,0.5,0.83
Kai Lung Chang,0.72,0.44
Alexander Materassi,0.6,0.76
Wojciech Owsiak,0.74,0.65
Reza Nakhai,0.65,0.58
Yassir Bouyahya,0.42,0.91
David Brady,0.79,0.83
Vivek Shokeen,0.68,0.52
Cheong Eui Kim,0.76,0.76
Varun Walia,0.46,0.85
Wasif Cheema,0.76,0.94
Jeevan Nedunchezhiyan,0.61,0.78
Vikas Punna,0.8,0.78
Gurmehar Singh,0.7,0.74
Dmitry Ivanov,0.58,0.42
Dane Fernandez,0.5,0.72
Richard Wire,0.81,0.84
Diego De Vecchis,0.68,0.62
Seyed Akbar Taheri Rahaghi,0.89,0.72
Dae Sung Jang,0.59,0.91
Artur Chernov,0.74,0.49
Alexandre Lichtchenko,0.71,0.55
Cliff Nguyen,0.72,0.46
Mihai Stoian,0.77,0.68
Yannick Nelord,0.47,0.86
Paul Rose,0.67,0.64
Andrea Arnaboldi,0.65,0.44
Ernests Gulbis,0.57,0.54
Thomaz Bellucci,0.62,0.89
Sun Yong Kim Jr,0.66,0.71
Giampaolo Mauti,0.56,0.9
Robin Haase,0.55,0.86
Catalin Buzatu,0.77,0.63
David Corrie,0.43,0.75
Evgeny Kirillov,0.56,0.77
Diego Toledo,0.73,0.81
Andre Miele,0.5,0.58
Mikhail Pavlov,0.69,0.56
Fabio Silva,0.55,0.78
Amar Zubcevic,0.82,0.85
Javier Ruiz Gonzalez,0.57,0.63
Sebastian Rieschick,0.51,0.58
Daniel Brands,0.67,0.85
Kacper Owsian,0.47,0.78
Przemyslaw Stec,0.8,0.59
Joscha Beutel,0.74,0.69
Marin Bradaric,0.79,0.93
Martin Sayer,0.6,0.81
Saurabh Singh,0.82,0.52
Franklyn Emmanuel,0.65,0.56
Raony Carvalho,0.45,0.55
Nicolas Santos,0.51,0.87
Anthony Hill,0.76,0.75
Peter Miklusicak,0.85,0.92
Pavol Cervenak,0.45,0.45
Simeon Ivanov,0.83,0.43
Anthony Law,0.8,0.77
Tomas Banczi,0.58,0.55
Paul Mihai Puscasu,0.74,0.77
Cosmin Cotet,0.49,0.8
Andre Wiesler,0.81,0.57
Luis Moreschi,0.73,0.92
Markus Geiger,0.62,0.83
Tiago Lopes,0.83,0.6
Juan Sebastian Cabal,0.47,0.63
Pablo Galdon,0.82,0.79
Christophe Dournes,0.41,0.57
Manuel Soumet,0.78,0.56
Paterne Mamata,0.69,0.74
Daniel Yoo,0.75,0.47
Scott Paltrowitz,0.61,0.95
Sanam Singh,0.83,0.56
Raju Anand Kumar Anumaganti,0.56,0.61
Arjun Goutham,0.54,0.52
Hirokazu Yagi,0.55,0.75
Sergio Perez Perez,0.79,0.43
Michal Walkow,0.65,0.91
Daniel Dolbea,0.67,0.57
Roberto Bautista Agut,0.82,0.91
Marc Pexa,0.82,0.54
Romain Jurd,0.48,0.68
Gonzalo Escobar,0.67,0.78
Goncalo Nicau,0.46,0.74
Frederick Sundsten,0.83,0.68
Jonathan Sanchez,0.82,0.83
Irineu Araujo,0.82,0.66
Jorge Villanueva,0.75,0.58
Antoine Benneteau,0.63,0.8
Mauricio Estivariz,0.6,0.92
Damian Listingart,0.6,0.73
Andrew Roberts,0.43,0.55
Evan Oneil,0.87,0.82
Haydn Lewis,0.63,0.82
Benjamin Stapp,0.87,0.55
Joel Kerley,0.84,0.61
Nick Lindahl,0.81,0.48
Andrew Coelho,0.69,0.44
Michael Look,0.45,0.84
Anthony Ross,0.56,0.6
David Galic,0.7,0.55
Erling Tveit,0.41,0.54
Denis Zivkovic,0.42,0.44
Jurgens Strydom,0.74,0.94
Alex Miotto,0.84,0.6
Christian Vitulli,0.83,0.49
Kirill Krioukov,0.48,0.88
Roberto Montis,0.86,0.8
Andrei Karatchenia,0.75,0.76
Bernardo Omar Palacios,0.76,0.56
Julian Dujmovic,0.55,0.63
David Loewenthal,0.76,0.86
Filipe Penteado,0.75,0.75
Ricardo Hocevar,0.7,0.59
Nathan Rooney,0.58,0.46
Dominic Inglot,0.81,0.9
Tobias Klein,0.87,0.93
Eric Hagenimana,0.83,0.8
Bjorn Munroe,0.52,0.78
Alain Hakizimana,0.62,0.7
Andrea Falgheri,0.57,0.93
Adriano Albanesi,0.75,0.78
Alejandro Gonzalez,0.82,0.44
Jaime Restrepo,0.51,0.45
Florent Scaccianoce,0.87,0.93
Olivier Charroin,0.74,0.92
Raul Perez,0.51,0.71
Lior Barbash,0.59,0.52
Daniel Muller,0.45,0.72
Frank Wintermantel,0.7,0.82
Stefan Seifert,0.48,0.4
Zach Dailey,0.75,0.85
Olivier Renavand,0.77,0.66
Robin Brage,0.64,0.65
Edgar Hernandez Perez,0.45,0.64
Adrian Mannarino,0.71,0.78
Alejandro Breve Nieto,0.59,0.52
Robbye Poole,0.87,0.73
Myalikkuli Mamedkuliyev,0.66,0.42
Donald Young,0.44,0.85
Kirati Siributwong,0.72,0.85
Jimmy Schneider,0.79,0.57
Jose Zunino,0.48,0.46
Justin Slattery,0.62,0.81
Rahman Smiley,0.77,0.66
Jose Ycaza,0.41,0.91
Chris Drake,0.41,0.59
Frederic Nussbaum,0.74,0.86
Frederic De Fays,0.76,0.41
Niels Desein,0.82,0.83
Pierre Metenier,0.6,0.77
David Jeflea,0.59,0.69
Enric Guaita Pais,0.68,0.9
Trystan Meniane,0.78,0.92
Weerapat Doakmaiklee,0.72,0.91
Matan Shitrit,0.56,0.73
Fabrice Martin,0.57,0.69
Antal Van Der Duim,0.78,0.55
Coen Van Keulen,0.67,0.49
Mikhail Ptukhin,0.45,0.71
Scott Brown,0.48,0.48
Tim Smyczek,0.83,0.49
Shuon Madden,0.9,0.6
Wei Guang Yang,0.57,0.5
Jan Marek,0.59,0.68
Mirko Zapletal,0.48,0.77
Daniel Dutra Da Silva,0.52,0.78
Diego Ortuzar Echavarria,0.61,0.69
Ramiro Juan,0.54,0.69
Divij Sharan,0.75,0.66
Davor Kuseta,0.67,0.53
Rupesh Roy,0.81,0.76
Idan Mark,0.76,0.76
Roman Kelecic,0.46,0.54
Vlastislav Slama,0.46,0.79
Stephen Mitchell,0.85,0.87
Pawel Dilaj,0.81,0.73
Mehdi Ziadi,0.63,0.46
Ervand Gasparyan,0.47,0.58
Abel Rincon Vazquez,0.85,0.45
Dejan Ramadanovic,0.52,0.57
Brodie Stewart,0.42,0.52
Marinko Matosevic,0.86,0.71
Patrick Nicholls,0.8,0.63
Lachlan Ferguson,0.75,0.8
Francisco Malfitani,0.42,0.6
Yannick Thivant,0.66,0.49
Sunu Wahyu Trijati,0.73,0.53
Philippe Frayssinoux,0.78,0.7
Pim Van Mele,0.64,0.65
Jonathan Dasnieres De Veigy,0.88,0.42
Elliot Wronski,0.52,0.52
Igor Sijsling,0.43,0.56
Julien Dupuy,0.57,0.8
Steven Goh,0.73,0.8
Luis Henrique Grangeiro,0.77,0.78
Andre Van Der Merwe B,0.77,0.85
Thomas Liversage,0.46,0.88
Rikus De Villiers,0.84,0.44
Rafael Farias,0.54,0.67
Francisco Javier Garcia Redondo,0.5,0.48
Ricardo Villacorta Alonso,0.71,0.59
Blaz Kavcic,0.51,0.76
Philipp Piyamongkol,0.65,0.73
Damisa Robinson,0.6,0.47
David Klier,0.52,0.82
Eric Butorac,0.55,0.83
Alexandre Sidorenko,0.61,0.48
Clement Rousseau,0.57,0.74
Arun Prakash Rajagopalan,0.59,0.92
Felipe Montenegro,0.77,0.45
Stefan Hirn,0.48,0.49
Chris Wettengel,0.71,0.82
Frederico Marques,0.74,0.59
Guillaume Canniccioni,0.8,0.93
Renouk Wijemanne,0.82,0.74
Romain Jouan,0.48,0.67
Jean Christophe Megache,0.47,0.59
Neil Bamford,0.71,0.53
Andrew Kennaugh,0.78,0.76
Alexander Sadecky,0.54,0.73
Mathieu Guenat,0.66,0.6
Patrik Fischer,0.79,0.9
Daniel King Turner,0.78,0.82
Pablo Martin Adalia,0.73,0.54
Franko Skugor,0.44,0.92
Patrick Jozwik,0.43,0.82
Todd Ley,0.59,0.89
Jamie Murray,0.41,0.47
Nicolas Tholozan,0.85,0.42
Luca Rovetta,0.41,0.67
Angelo Niculescu,0.41,0.65
David Estruch,0.48,0.88
Miquel Perez Puigdomenech,0.71,0.49
Borja Martinez Lejarza,0.67,0.41
Michael Leong,0.73,0.69
Juan Sebastian Langton,0.85,0.5
Ryan Sweeting,0.63,0.43
Denes Lukacs,0.42,0.41
Tomislav Hadzic,0.78,0.48
Francesco Caputo,0.81,0.61
Faris Khatib,0.42,0.89
Matjaz Jurman,0.52,0.82
Gilles De Sousa,0.79,0.69
Remko De Rijke,0.59,0.64
Ranjeet Virali Murugesan,0.64,0.65
Gero Kretschmer,0.81,0.89
Victor Kolik,0.45,0.8
Laurent Bram,0.74,0.49
Amir Weintraub,0.51,0.92
Reda Messaoudi,0.43,0.83
Sherif Sabry,0.73,0.42
Tim Goransson,0.46,0.68
Michael Johnson,0.77,0.76
Stuart Waters,0.5,0.43
Serkan Akin Dilek,0.42,0.59
Philipp Oswald,0.45,0.76
Martin Fischer,0.82,0.85
Bertram Steinberger,0.59,0.94
Roberto Lopez Sanchez,0.55,0.47
Jaime Ignacio Arriaga,0.65,0.75
Yuichi Ito,0.72,0.89
Fabio Docche,0.42,0.79
Akmal Sharipov,0.85,0.75
Jose Maria Herrera,0.88,0.52
Ryan Jones,0.61,0.85
Francisco Franco,0.61,0.71
Demian Gschwend,0.84,0.46
Emiliano Massa,0.61,0.91
Alexander Slabinsky,0.83,0.94
Chris Eaton,0.41,0.7
Edward Corrie,0.64,0.83
Joshua Crowe,0.88,0.72
Boris Conkic,0.53,0.63
Tihomir Grozdanov,0.53,0.63
Oscar Montanez,0.72,0.93
Mario Haider Maurer,0.86,0.6
Marko Strilic,0.5,0.67
Alessandro Gravina,0.86,0.54
Sergei Kwak,0.73,0.54
Javier Garrapiz Borderias,0.9,0.6
Marc Rigal Perez,0.77,0.91
Cyprian Pisarek,0.73,0.62
Andrei Ciumac,0.81,0.7
Timothy Neilly,0.49,0.7
Pete Stroer,0.87,0.72
Alex Clayton,0.48,0.85
Marcus Walker,0.41,0.9
Satoshi Yoshino,0.75,0.51
Pedro Campos,0.49,0.87
Vitor Requiao,0.78,0.7
Lucas Jovita,0.8,0.91
Laurentiu Erlic,0.52,0.9
Aleksandr Nedovyesov,0.44,0.61
Ji Sup Lim,0.65,0.76
Juan Manuel Valverde,0.85,0.88
Alejandro Kon,0.82,0.61
Jamie Hunt,0.46,0.42
Benoit Bottero,0.88,0.6
David O'Connell,0.53,0.6
Holden Seguso,0.57,0.84
Marvin Rolle,0.47,0.57
Carles Poch Gradin,0.59,0.89
Miloslav Navratil,0.72,0.7
Ming Li,0.65,0.72
Shuang Qiang Liang,0.81,0.84
Hai Yun Tan,0.72,0.47
Marek Semjan,0.53,0.41
Pawel Syrewicz,0.68,0.43
Joseph Schmulian,0.43,0.42
Shane La Porte,0.69,0.78
Houssam Yassine,0.59,0.53
Daniel Ramentol Garcia Atienza,0.45,0.87
Yassine Idmbarek,0.55,0.89
Jack Baker,0.85,0.6
Michal Konecny,0.69,0.51
Aldin Setkic,0.85,0.67
Zhuo Qing Zhou,0.61,0.85
Filip Siladi,0.89,0.78
Jordi Gil Fernandez,0.58,0.41
Adrian Daniel Simon,0.78,0.4
Rolando Vargas,0.55,0.46
Vishnu Vardhan,0.45,0.59
Navdeep Singh,0.82,0.7
N Vijay Sundar Prashanth,0.78,0.85
Luigi Esposito,0.81,0.48
Martin Emmrich,0.55,0.48
Nima Roshan,0.75,0.87
Ben Rocavert,0.51,0.91
Mohammed Affes,0.41,0.7
Pertti Vesantera,0.83,0.83
Denis Bovhan,0.66,0.59
Robert Moldoveanu,0.89,0.92
Mihai Nichifor,0.59,0.9
Marc Rocafort Dolz,0.88,0.87
Miha Mlakar,0.71,0.41
Nejc Podkrajsek,0.66,0.69
Saso Bende,0.55,0.41
Adnan Mesic,0.81,0.77
Martin Fafl,0.81,0.5
Ji Shi,0.61,0.75
Adel Lahdhiri,0.76,0.45
Baris Erguden,0.62,0.82
Omri Hasin,0.77,0.8
Arnaud Delgado,0.9,0.4
Piotr Banas,0.53,0.84
Grzegorz Panfil,0.72,0.49
Jiri Krkoska,0.59,0.46
Zoran Golubovic,0.67,0.68
Carlos Gonzalez De Cueto,0.84,0.72
Vladislav Bondarenko,0.57,0.46
Matt Fox,0.44,0.57
Sasa Stojisavljevic,0.8,0.62
Derek Klemish,0.68,0.92
Petru Alexandru Luncanu,0.62,0.54
Dimitar Kutrovsky,0.49,0.54
Niklas Bucht,0.45,0.76
Takahiro Ittogi,0.54,0.8
Matteo Viola,0.76,0.41
Youssef Miled,0.61,0.47
Marsel Ilhan,0.69,0.6
Kostyantyn Dmytrenko,0.44,0.75
Mika Purho,0.46,0.47
David Nylen,0.41,0.6
Akito Higa,0.74,0.44
Marcus Fugate,0.53,0.71
Ilie Aurelian Giurgiu,0.88,0.63
Sascha Heinemann,0.55,0.83
Arnar Sigurdsson,0.58,0.72
Vincent Valtier,0.63,0.76
Philippe De Bonnevie,0.56,0.77
Marco Garcia Koch,0.81,0.72
Treat Conrad Huey,0.84,0.41
Chris Klingemann,0.41,0.86
Jiri Skoloudik,0.73,0.9
Henry Estrella,0.74,0.69
Scott Doerner,0.88,0.46
Patrick Briaud,0.59,0.76
Mario Vergara,0.5,0.6
Andres Molteni,0.66,0.44
John Isner,0.62,0.87
Brett Ross,0.8,0.79
Travis Helgeson,0.85,0.84
Ryan Redondo,0.44,0.84
Andreas Haider Maurer,0.82,0.6
Yu Chang,0.85,0.67
James Ward,0.86,0.53
Philip Bester,0.78,0.82
Razvan Verone,0.77,0.69
Andy De Bruijne,0.41,0.76
Adrians Zguns,0.86,0.6
Kaes Vant Hof,0.58,0.77
Robert Green,0.42,0.77
Enrico Iannuzzi,0.61,0.82
Raian Luchici,0.77,0.49
Suleman Jafarey Hall,0.62,0.74
Bassam Beidas,0.78,0.88
Marc Abdulnour,0.65,0.45
Mahmoud Bahaa Hamed,0.55,0.93
Hyung Kwon Kim,0.5,0.51
Jorge Rangel,0.61,0.92
Edualdo Bonet De Gispert,0.42,0.88
Frederico Fort,0.61,0.82
Ramiro Tincoff,0.43,0.52
Ross Connolly,0.84,0.52
Dan Cottier,0.69,0.54
Denys Molchanov,0.72,0.85
Andemir Karanashev,0.54,0.5
Omar Altmann,0.51,0.72
Ahmed Shebl Morsy,0.75,0.83
Andrea Roscioli,0.74,0.65
Mohamed El Sohafy,0.46,0.86
Jan Subota,0.52,0.71
Agung Bagus Dewantoro,0.87,0.73
Elbert Sie,0.55,0.77
Surya Wijaya Budi,0.41,0.87
Aleksandar Bajin,0.43,0.4
Romain Radwan,0.79,0.62
Anas Fattar,0.78,0.93
Mauro Piras,0.59,0.45
Julian Morosi,0.48,0.53
Valery Rudnev,0.65,0.71
Pavel Chekhov,0.57,0.87
Andrey Kumantsov,0.59,0.45
Destiny Ford Da Silva,0.53,0.4
Sunday Essien,0.43,0.78
Emanuel Brighiu,0.8,0.73
Alexis Lluis,0.71,0.55
James Ludlow,0.82,0.93
Daniel Manuel Sanchez Martinez,0.65,0.71
Marco De Sanctic,0.89,0.76
Nelson Alejandro Rodriguez Garza,0.88,0.61
Matteo Fago,0.54,0.91
Milan Petercak,0.59,0.55
Henrik Norfeldt,0.78,0.81
Amir Shirazi,0.79,0.46
Ravid Hezi,0.86,0.7
Udoka Amajioyi,0.73,0.72
Badr Bouarich,0.64,0.5
Romain Hardy,0.59,0.58
Roger Gubser,0.61,0.5
Guillermo Sahagun,0.83,0.86
Borja Martinez,0.89,0.76
Matteo Marfia,0.43,0.65
Zoltan Bus,0.69,0.71
Christian Kloimullner,0.66,0.59
Adrian Sikora,0.59,0.64
Marek Michalicka,0.83,0.74
Andrea Alviano,0.69,0.52
Denis Bejtulahi,0.56,0.47
Aleksandar Cvetkov,0.62,0.92
Slavko Bjelica,0.58,0.53
Ivan Cressoni,0.62,0.67
Eladio Ribeiro Neto,0.44,0.82
Bruno Savi,0.46,0.71
Marcos Conocente,0.71,0.75
Nicolas Jara Lozano,0.74,0.49
Leonel Alberti,0.72,0.62
Vaja Uzakov,0.78,0.78
Joao Souza,0.87,0.52
Hector Silva,0.83,0.67
Andrea Merati,0.61,0.72
Serguei Tarasevitch,0.51,0.83
Jorge Montoya,0.56,0.52
Jean Michel Durango,0.69,0.94
Marc Meigel,0.83,0.93
Tibor Fenyvesi,0.75,0.41
Israel Perez Martinez,0.67,0.6
Aljoscha Thron,0.7,0.44
Robin Roshardt,0.66,0.57
Bogdan Leonte,0.89,0.73
Aristotelis Mouratoglou,0.81,0.73
Gaafar Noureldin El Sadig,0.79,0.45
Yann Marti,0.66,0.77
Roy Radwan,0.57,0.87
Michael Levens,0.41,0.75
Mohammed Youssif,0.42,0.57
Daniel Ludi,0.42,0.4
Roman Herold,0.89,0.76
Bartosz Golas,0.46,0.77
Ante Nakic Alfirevic,0.47,0.79
Vedran Vrcelj,0.64,0.42
Daniel Santl,0.64,0.68
Sven Swinnen,0.86,0.63
Gaston Arturo Grimolizzi,0.44,0.82
Tsubasa Morizane,0.88,0.8
Keith Meisner,0.51,0.92
Christian Haupt,0.89,0.89
Nicolas Vogel,0.67,0.71
Pirmin Haenle,0.73,0.94
Filip Svozilek,0.56,0.48
Florian Halb,0.71,0.4
Myles Blake,0.76,0.46
Gregg Le Sueur,0.41,0.6
Hsin Han Lee,0.42,0.82
Dae Dong Lee,0.89,0.61
Giulio Torroni,0.63,0.83
Pavel Charnushin,0.87,0.81
Pavel Katliarov,0.76,0.84
Christoph Lessiak,0.59,0.5
