player,age,height
Dae Dong Lee,35,172
Giulio Torroni,23,199
Pavel Charnushin,21,186
Pavel Katliarov,32,177
Christoph Lessiak,20,172
Riccardo Ghedin,36,196
Peter Shults,32,179
Guillermo Gomez Diaz,23,171
Daniel Dueren,26,191
Ryan Andrews,36,173
Faisal Aidil,28,198
Henry So,23,198
Ali Javaheriyan,20,183
Amir Soheil Mohseni,29,180
Ashkan Shahgholi,23,183
Amir Vaziri,28,182
Vahid Tahamtan,32,196
Sandy Purnomo,33,198
Fabian Poth,29,173
Andery Setyawanto,25,171
Christopher Rungkat,35,171
Filip Zeman,25,180
Sascha Koehler,36,191
Yasser Adel Sayed,29,174
Sten Weingartner,37,178
Georgi Rumenov Payakov,37,189
Harri Heliovaara,22,190
Eric Uwamahoro,34,186
Juan Pablo Yunis,34,181
German Sole,23,197
Damiano Di Ienno,28,187
Troy Gillham,36,172
Kris Nathan,30,174
Aditya Madkekar,28,197
Devinder Singh Bhusari,29,190
Sean Galpin,37,189
Rahil Makharia,32,183
Purav Raja,27,185
Sam Groth,26,195
Cesare Gallo,36,188
Rafael Garcia,34,178
Mohamed Redha Ouahab,34,186
Mauricio Echazu,20,191
Dmytro Kamynin,33,176
Dmytro Petrov,24,179
Sergey Rudenko,30,173
Sebastian Gallego Betancor,35,179
Konstantinos Kalaitzis,21,172
Adam Barratclough,27,193
Magnus Ohrvall,30,178
Karl Norberg,37,182
Herve Karcher,22,170
Emilio Andres Ferreyra,20,184
Erasmo Vazquez,30,184
Mauricio Doria Medina,35,180
Luis Fernando Manrique,37,197
Diego Medrano,35,179
Noel Moossa,29,194
Peter Gojowczyk,37,176
Matthew Ebden,25,170
Roger Lema,23,176
Juan Carlos Spir,32,174
Jochen Schoettler,33,195
Alexy Tsyrenov,22,198
Edward Seator,29,198
Matthew Lott,25,192
James Cerretani,20,185
Ernest Zurabian,33,197
Aleksandr Aksyonov,27,194
Alejandro Vargas Garcia,33,177
Yoav Schab,29,191
Benjamin Janse Van Rensburg,36,171
Simon Harston,28,177
Dominic Metzger,25,197
Kagiso Kelebeile,30,183
Yannick Jankovits,26,173
Justin Visser,36,193
Sergey Betov,20,184
Vasil Mladenov,24,176
Alexandr Dolgopolov,28,189
Artem Smirnov,37,177
Mikhail Kukushkin,21,196
Orlando Superlano,30,180
David Budler,25,197
Luca Leonardi,27,196
Evghenii Corduneanu,23,171
Kai Ohuchi,37,178
Thomas Cristian Hodel,30,175
Dumiso Khumalo,24,192
Alessandro Sabatini,34,195
Eddy Chala,37,170
Scott Dickson,21,172
Petr Frelich,30,199
Jesse Levine,32,179
Kriegler Brink,23,174
Lennart Beckhaus,26,181
Josef Hrabal,30,192
Maxime Authom,23,170
Vytis Balsiukas,34,178
Carsten Ball,20,190
Borja Malo,22,182
Patrick Eichenberger,33,197
Gilberto Alvarez,25,188
Clay Donato,37,176
Hakim Rezgui,20,195
Gustavo Sterin,25,185
Rui Hao,25,177
Chin Yu Huang,35,195
Guo Bin Cen,24,195
Thiemo De Bakker,36,188
Saurav Sukul,29,176
Almog Mashiach,37,192
Petar Jelenic,26,173
Steeve Noblecourt,22,179
Daniel Cox,32,194
Peng Gao,34,170
Scott Schnugg,22,186
Raphael Ozelli,23,190
Michael Shabaz,24,182
Leandro Ferreira,20,188
Rudy Coco,23,195
Franck Dalla Santa,31,182
Alberto Gonzalez,29,178
Michael Lai,32,174
West Nott,33,192
Jesus Francisco Felix,24,170
Israel Morales,23,171
Juan Lorenzo Gonzalez,33,180
Jose Roberto Velasco,29,197
Federico Ciarrochi,36,173
Rahim Esmail,29,178
Eduardo Peralta Tello,26,174
Alberto Cristofaro,35,174
Blazej Koniusz,20,194
Terkaa Nambe,36,177
Guillaume Tarralle,28,171
Patrick Gamauf,25,176
Nathan Thompson,32,186
Victor Garcia Gimeno,22,195
David Prats Catalan,26,196
Michael Mcclune,28,180
Alfonso Fernandez Guimera,24,184
Marco Viola,29,194
Jun Chao Xu,36,172
Austen Childs,31,182
Antoine Tassart,35,187
Stephen Moros,22,189
Federico Cataldi,28,189
Witold Cudny,34,172
Adil Shamasdin,24,171
Michael Rubin,32,174
Mao Xin Gong,33,189
Jeffrey Das,34,174
Luca Bianchini,35,182
Sahar Shimiel,32,197
Jean Francois Berard,36,197
Yan Bai,27,177
Rong Ma,21,196
Xiao Long Yin,24,185
Ezequiel Krivulin,25,187
Kei Nishikori,31,194
Thomas Drouet,37,195
Josip Juric,20,185
Maxime Bonami,36,170
Nikola Mektic,30,177
Stephen Donald,29,197
Yan Levinski,33,190
Favel Antonio Freyre Perdomo,29,171
Mohamed Nazim Saber,34,193
David Canudas Fernandez,23,174
Martin Pedersen,21,195
Alan Wright,28,184
Jose Ricardo Nunes,29,183
Carlos Calderon Rodriguez,30,195
Joao Ferreira,33,198
David Tavernier,26,199
Luis Javier Cuellar Contreras,34,172
Hyun Joon Kim,34,176
Carl Bergman,27,173
Javier Ramos,30,180
Heiner Tadault,28,196
Guillermo Olaso,34,195
Danny Spierenburg,20,181
Carl Sundberg,20,184
Ahmad Rabeea Muhammad,22,175
Diego Puerto Jaimez,29,195
Amarit Sanchez Thammakrong,27,193
Thomas Cazes Carrere,34,170
Stefano Vukov,29,187
Francisco Javier De La Torre Sanchez,20,183
Arsen Asanov,37,198
Juan Pablo Villar,21,193
Oscar Castillon Miguez,32,176
Pietro De Simon,20,179
Robert Varga,21,178
Sean Thornley,35,171
George Balafoutas,34,177
Hans Podlipnik Castillo,32,191
Ricardas Berankis,35,170
Alexander Stamchev,36,189
Hristo Hristov,26,199
Yannick Mertens,36,171
Miljan Zekic,26,176
Stefan Mitev,32,194
Drazen Sakac,24,185
Marko Pazman,36,191
Mathias Feitsch,22,173
Robert Belak,26,190
Kellen Damico,36,196
Dimitrios Loucareas,26,186
Mithun Murali,20,198
Kento Takeuchi,36,173
Federico Cavallero,36,198
Iain Atkinson,30,195
Ruben Aboytes,22,172
Alexandru Raul Lazar,34,178
Vlad Alex Marinescu,30,191
Javier Becerra Hernandez,35,184
Mikal Oliver Statham,28,189
Tuomo Ojala,20,172
Kevin Kerr,35,181
Gregory Gumbs,28,184
Maksim Bakunin,31,198
Illya Marchenko,28,189
Vadim Alekseenko,26,177
Attila Bucko,33,181
Henrique Cancado,21,190
Renato Silveira,28,182
Massimo Capone,32,184
Mohammed Al Nabhani,34,180
N Sriram Balaji,22,186
Vijay Paul,30,190
Marek Pokrywka,33,193
Miroslav Ocadlik,27,196
Laurent Rochette,37,181
Yuichi Sugita,35,189
Sami Huurinainen,21,199
Mateusz Kowalczyk,27,187
Ramiro Alexis Campos,25,198
Christian Gutierrez,31,185
Tomislav Raca,34,172
Ivan Salec,27,199
Filip Spasojevic,23,196
Rodrigo Orozco,34,178
Dan Vasilescu,36,199
Cosmin Cristian Andreescu,32,176
Kosuke Naruse,37,188
Tatsuma Ito,21,174
Balazs Novak,32,188
Kevin Taylor,32,179
Alexandru Daniel Carpen,34,189
Octavian Nicodim,29,181
Luca Vanni,22,177
Damian Guichonet,22,199
Marcelo Demoliner,33,172
Sumit Prakash Gupta,27,188
Mario Cuellar Gonzalez,23,196
Vladyslav Klymenko,30,180
Wael Kilani,30,177
Reda El Amrani,30,195
Slah Mbarek,21,182
Ignacio Vicente,36,195
Artur Romanowski,28,192
Harshana Godamanna,21,192
Daniel Danilovic,34,179
Aleksandr Agafonov,35,187
Ales Plesnicar,23,181
Sebastian Kraila,27,176
Alin Mihai Constantin,28,195
Danail Tarpov,24,180
Angel Alonso Campos,35,179
Federico Paskvan,32,172
Adolfo Gomez Pinter,26,199
Edesio Semencato,36,176
Boy Westerhof,22,198
Janusz Conradi,24,173
Egor Puntus,31,198
Shendrit Deari,26,177
Jerome Inzerillo,28,177
Pierre Mouillon,25,175
James Cluskey,36,182
Vincent Sapene,35,181
Aaron Bishop,22,172
David Robles Torralba,23,175
Peerakit Siributwong,29,191
Shuhei Uzawa,24,188
Philippe Brand,29,180
Peter Lucassen,31,173
Peter Torebko,29,184
Kenichiro Nakahara,32,171
Paul Moggre,30,184
Luigi Dagord,35,186
Matt Bruch,27,171
Diago Sakurai,27,176
Colin Obrien,27,195
Gerald Kamitz,32,185
Clement Reix,21,174
Gilles Lagardere,31,185
Marius Alfs,29,194
Omid Souri,31,188
Ivan Endara,30,171
Eric Hechtman,34,184
Chase Buchanan,35,173
Bryan Koniecko,36,171
Carlos Cuenca Navarro,21,196
Marc Spicijaric,37,192
Tigran Martirosyan,31,179
Marco Simoni,37,191
Jonathan Eysseric,36,193
Juan Manuel Agasarkissian,25,198
Yao Lun Chang,34,174
Joel Kielbowicz,22,187
Julian Bley,25,198
Christophe Lenzi,22,173
Manuel Ivan Avila,20,170
Darrin Cohen,32,187
Alberto Rojas Maldonado,33,189
Victor Andrei Ion,32,175
Andrei Daescu,23,189
Timothy Bradshaw,26,189
Juan Andres Gomez,29,183
Kristijan Mesaros,26,196
Dariusz Kuligowski,34,195
Andrei Plotniy,34,179
Wan Gao,23,187
Laurent Vigne,25,178
Andrea Aloisi,24,181
Matej Bocko,31,179
Matias Saenz,20,193
Oscar Sabate Bretos,27,193
Tim Puetz,20,190
Blake Strode,24,188
Sheeva Parbhu,25,175
Maciek Sykut,22,183
Matthew Roberts,34,194
Alex Satschko,24,177
Tsung Hua Yang,33,192
Jozsef Both,37,183
Jiri Kosler,35,180
Daniel Alejandro Lopez Cassaccia,25,193
Vladimir Ivanov,33,185
Edgars Manusis,27,189
Anton Bobytsky,26,175
Martin Di Mella,27,184
Nicolas Terrera,32,184
Francisco Pozzi Romanazzi,25,183
Edward Allinson,37,190
Krisjanis Stabins,21,181
Karlis Lejnieks,27,171
Pedro Ast,30,177
Steven Espinoza,20,188
Leonel Vivas,25,183
Sylvain Anibie,35,174
Dilshod Sharifi,31,193
Marc Sieber,30,196
Florian Stephan,29,178
Kiran Nandkumar,22,182
Tomas Bohunicky,32,178
Joseph Atas,22,183
Yannick Weihs,34,174
Patrick Taubert,35,171
Guillermo Bujniewicz,32,176
Guido Pella,36,185
Martin Rios Benitez,22,180
Omar Mohamed Laalej,30,180
Mlapa Tingou Akomlo,30,192
Gleb Alekseenko,35,181
Augustine Nwokedi,22,182
Michal Macko,25,177
Masashi Yoshikawa,33,193
Michal Pazicky,37,185
Tyler Browne,36,190
Ioan Alexandru Cojanu,23,170
Andrea Fava,34,182
Lucian Vespan,30,180
Gregory Muzil,22,198
Diego Lasry,22,173
Santiago Villegas,35,173
Kittipong Wachiramanowong,24,184
Peerakiat Siriluethaiwattana,29,196
Dayne Kelly,23,172
Miro Hrvatin,30,193
Jurica Grubisic,21,188
Jaume Santo Valdivieso,29,198
Anthony Tuong,30,190
Calin Paar,35,171
Marc Andre Stratling,30,175
Jaak Poldma,33,191
Ludovic Walter,21,193
Arsenije Zlatanovic,24,177
Jan Greve,24,186
Tim Bastian Johanssen,31,174
Philip Pakebusch,37,171
Ionut Mihai Beleleu,23,195
Renato Pereira,36,181
Agustin Picco,29,174
Bastien Lobbrecht,25,179
Jordan Rux,33,197
Maximiliano Estevez,30,178
Eleazar Magallan,30,189
Jurgen Zopp,37,177
David Thurner,37,170
Jacek Szygowski,30,193
Moacir Santos Filho,31,175
Antonio Veic,24,193
Martin Shishkov,28,191
Christian Ramos,28,180
Pietro Fanucci,29,172
Jean Zietsman,20,197
Steven Moneke,26,184
Miles Armstrong,23,180
Brydan Klein,20,193
Diego Matos,34,174
Rafael Camilo,27,197
Alessandro Damiano Ventre,31,195
Dawid Celt,37,185
Nicolas Meister,34,190
Bogdan Buneci,36,197
Yoran Verschoor,33,176
Xander Spong,33,175
Sergio Gutierrez Ferrol,37,178
Adrien Bossel,37,176
Dylan Sessagesimi,35,172
Cyril Spanelis,20,180
Yannick Thomet,30,196
Alexandre Lacroix,34,181
Sebastien Hourcourigaray,31,190
Dean Jackson,27,194
Mahmoud Ezz,25,180
Danilo Zivanovic,22,198
Mohamed Safwat,32,195
Matt Simpson,32,199
Nodar Itonishvili,21,171
Maxim Geraskin,24,170
Laurent Silvy,36,196
Dawid Piatkowski,25,193
Alexander Blom,21,193
Thomas Schoeck,23,171
Bruno Peric,30,183
Vedran Siljegovic,27,182
Joel Lindner,31,193
James Lemke,27,174
Cledson Carvalho,30,171
Fabiano De Paula,27,192
Patricio Alvarado,27,192
Yoann Villar,36,188
John Mcgahon,35,199
Majdi Salim,33,186
Abraham Gonzalez Jimenez,30,180
Serinho Wijdenbosch,26,185
Michel Meijer,35,189
Daniel Kumlin,32,187
Julien Burgnard,34,189
Sahr Timothy Kpulun,35,177
Gaston Giussani,28,171
Nicolas Andres Rodriguez,22,186
Genki Tomita,24,180
Kensuke Goto,29,183
Sho Katayama,36,185
Stefano Rodighiero,34,184
Nicola Comune,27,184
Viorel Catalin Ciobanu,34,172
Yuya Tanaka,33,195
Artem Isaev,26,176
Yohei Okuno,31,198
Nathaniel Schnugg,36,181
Michael Venus,36,191
Matthew Illingworth,29,191
Mathieu Rodrigues,33,192
Simon Childs,30,193
Levy Navarro,21,172
Matteo Trevisan,37,188
Pablo Conchell,26,179
Sergio Rojas,31,198
Anthony Marshall,21,177
Radames Ries,37,185
Enrique Gonzalez,25,185
Miguel Cicenia,29,181
John Nguyen,34,198
Greg Jones,24,199
Lachlan Reed,22,198
Kirill Sinitsyn,24,192
Luca Cattani,27,195
Monte Tucker,27,174
Cyril Hervieux,27,189
Daniel Rico Junyent,31,175
Fernando Romboli,27,194
Gastao Elias,30,175
Pedro Sousa,33,177
Karim Ben Mansour,27,186
Jeremiah Fuller,29,181
Guy Kubi,26,199
Patrick Kuhn,36,191
Menford Owusu,23,199
Paris Gemouchidis,32,183
Paul Warkentin,23,171
Richard Ruckelshausen,24,188
Rikus Becker,23,175
Henrik Soderberg,37,187
Marc Auradou,25,173
Freddy Luciani,21,191
Lofo Ramiaramanana,30,174
Damian Hume,33,175
Martin Klizan,24,184
Mark De Jong,25,175
Emmanuel Mensah,29,177
Joaquin Jesus Monteferrario,27,178
Kevin Botti,33,190
Ivan Anikanov,22,191
Piotr Olechowski,31,175
Rylan Rizza,35,191
Pablo Pires De Almeida,36,171
Brad Pomeroy,20,185
Andre Pinheiro,29,189
Attila Balazs,29,170
Alejandro Moreno Figueroa,21,199
Troy Smith,28,197
Ikaika Jobe,32,185
Ryan Preston,35,170
Tyler Hochwalt,37,170
Agustin Boje Ordonez,31,176
Leandro Savelli,27,185
Mario Zavala,36,186
Andre Stabile,34,185
Victor Kozin,29,185
Martin Andres Gamarci,34,175
Ariel Behar,34,187
Francisco Olivares,26,191
Danilo Ferraz,32,191
Tomer Hodorov,36,197
Roman Petrunin,28,196
Caio Burjaili,27,172
Ruben Bemelmans,37,177
Victor Carvalho Melo,32,196
Gonzalo Tur,35,173
Martin Montalbetti,28,198
Dariel Leon,31,192
Helio Sileman,31,173
Gael Gaetjens,25,186
Rasid Winklaar,26,191
Marius Copil,22,174
Alain Ntamag,35,194
Philipp Jelinek,37,183
Abel Hernandez Aguila,35,199
Justin Diao Natale,26,184
Juan Carlos Ramirez,23,194
Jose Hernandez,27,181
Goran Rozic,32,196
Boris Obama,32,182
Justin Oneal,36,193
Jordi Samper Montana,36,192
Vasek Pospisil,24,199
Milos Raonic,25,187
Marek Czerwinski,32,183
Simon Cauvard,33,193
Younes Rachidi,23,188
Florian Reynet,26,191
Thomas Fabbiano,27,195
Roberto Rodriguez Alonso,32,176
Inigo Cervantes Huegun,25,197
Gerard Granollers,25,175
Antonio Sancic,22,174
Jagdev Sagoo,22,173
Antoine Hamard,32,187
Ivan Zovko,21,194
Tibor Simic,35,183
Tomohiro Shinokawa,25,185
John Peers,27,192
John Millman,27,192
John Warner,25,189
Frederick Sletting Johnsen,33,183
Otto Sauer,22,174
Rohan Weideman,29,191
Alexander Somogyi,22,197
Nick Van Rosberg,31,180
Benito Jose Suriano,36,181
Stephane Piro,24,187
Ryota Hisamatsu,28,173
Junn Mitsuhashi,26,182
Christopher Brown,23,189
Alen Bisevac,32,197
Fumiaki Kita,32,182
Facundo Bagnis,29,173
Luka Belic,37,192
Clint Bowles,36,198
Danila Arsenov,32,192
Juan Guillermo Florez,36,176
Ivan Nedelko,23,192
Nikos Spyrou,20,171
Roman Jebavy,20,190
Nikos Serkedakis,34,195
David Rice,32,187
Graeme Dyce,36,190
Joao Sousa,27,197
Emilio Rodriguez,37,175
Reid Carleton,32,185
Philip Barlow,33,172
Markus Eriksson,27,191
Vlademyros Mavropoulos Stoliarenko,27,184
Maxim Filippov,34,190
Yury Shirshov,32,189
Federico Delbonis,26,179
Mehdi Bouabbane,24,178
Marco Sattanino,36,180
Ryan Recht,35,183
Victor Gonzalez,21,193
Derek Schwandt,37,181
Brian Battistone,36,176
Artem Petushkov,26,180
Djanibek Orazoliev,32,186
Sergiy Myropolsky,37,194
Vladimir Uzhylovsky,33,178
Miloslav Mecir Jr,37,191
Marco Valletta,32,192
Nicola Ghedin,30,182
Vittorio Rubino,35,185
Julian Kurz,36,172
Soren Goritzka,27,174
Sebastian Rivera,34,192
Manuel Sanchez,28,186
Isaac Frost,29,197
Leon Frost,31,170
Andriej Kapas,20,190
Marcin Gawron,28,178
Dzmitry Zhyrmont,34,192
Stanislav Zhuravski,20,186
Aleksey Bessonov,31,198
Hui Zhang,22,182
Predrag Nedeljkovic,30,184
Darius Urbanski,21,197
Amador Romero Torres,35,190
Antonio Martin Velez,28,177
Costin Paval,34,177
Valentin Dimov,31,197
Nicolas Reissig,20,171
Paolo Naldi,32,192
Giorgio Portaluri,33,179
Franco Tamagnone,27,174
Ales Svigelj,27,185
Rok Ursic,31,194
Navid Johannigmann,20,188
Javier Padilla,30,170
Sornsakol Supakit,27,182
Pongsiri Niroj,29,173
Jonathan Kinsella,30,176
Rumen Gospodinov,26,170
Sinisa Markovic,30,171
Artem Baradach,36,185
Patrick Prader,20,183
Alexander Bury,27,174
Alexander Smolyakov,25,194
Vitali Reshetnikov,37,183
Pongphun Chimdee,25,186
Palanupap Puranawit,24,181
Stephan Fransen,32,189
David Costa Soria,27,181
Alessandro Torrisi,28,199
Laurent Montoisy,36,172
Santiago Penades Sanz,22,199
Ilija Martinoski,30,190
Giacomo Pirozzi,36,190
Arata Onozawa,21,195
Sho Aida,27,171
Rasmus Moller,26,190
Gursharan Singh,36,194
Antonio Comporto,25,190
Thomas Schoorel,25,184
Daniel Evans,21,180
Ken Skupski,25,179
Daniel Smethurst,24,187
Max Jones,23,192
Eoin Heavey,36,191
Gregory Howe,30,192
Miguel Muguruza,23,193
Alexey Iremashvili,32,195
Patrik Rosenholm,36,190
Robin Fahgen,28,171
Philip Riise Hansen,23,176
Andrei Levine,33,176
Anil Yuksel,22,193
Harrison Keyser,33,176
Fabien Robert,27,195
Moritz Baumann,20,192
Nikola Cacic,29,183
Alin Ionut Enescu,37,198
Ryan Rowe,35,194
Luca Stoppini,27,193
James Mcgee,20,171
Nicolas Grammare,31,171
Nassim Slilam,27,192
Rhyne Williams,35,195
Phillip Regnat,37,184
Riccardo Marcon,23,180
Jhonathan Medina Alvarez,25,198
Eduardo Struvay,31,179
Dragos Cristian Mirtea,28,172
Andre Begemann,34,186
Joshua Milton,35,178
Lubomir Majsajdr,31,199
Gregoire Burquier,33,184
Benoit Paire,32,199
Jean Yves Aubone,21,183
Dimitris Kleftakos,22,188
Harutyun Sofyan,29,186
Radu Albot,28,191
Ivo Mijic,27,189
James Weinacker,29,199
Nicola Remedi,22,186
Ryan Thacher,24,185
Akash Wagh,22,189
Andrei George Daraban,35,177
Marco Bella,36,196
Rodrigo Grilli,34,176
Ajai Selvaraj,22,181
Vignesh Peranamallur,31,170
Siddharth Alapati,28,195
Vijayant Malik,31,181
Matt Brewer,34,194
Aboubacar Sigue,21,175
Cheikh Salif Kante,37,185
Eduardo Matesanz Aragones,31,187
Jonathan Tragardh,23,188
Joe Epkey,35,192
Justin Kronauge,35,172
Stanislav Ichkov,20,198
Juan Manuel Romanazzi,21,172
Danny Bryan,22,174
Bastian Trinker,36,172
Catalin Gard,20,188
Ashwin Vijayragavan,25,196
Tzu Yang Lin,34,174
Min Hyoek Cho,33,183
Yuki Bhambri,34,190
Alex Bartlett,33,185
Guillermo Duran,24,197
Maniel Bains,25,194
Marcelo Palacios Siegenthale,36,170
Roel Oostdam,30,199
Mikk Irdoja,35,186
Cristobal Saavedra Corvalan,31,180
Kyle Brassington,34,199
Torsten Wietoska,23,178
Yannick Maden,37,190
George Chantouria,22,173
George Khrikadze,27,171
Conor Pollock,22,197
Adrian Belei,27,178
Boris Premovic,37,191
Mario Tupy,29,194
Martin Durdik,36,174
Andoni Vivanco Guzman,27,173
Rohan Gide,30,192
Sunday Emmanuel,24,174
Il Hae Kim,32,193
Lei Gao,24,193
Matthew Hogan,32,198
Andre Timme,25,187
Tinotenda Chanakira,24,182
Albert Arthur,28,174
George Barth,35,195
Herman Fomete Zambou,21,193
Walter Treu,20,188
Cristhian Ignacio Benedetti,27,192
David Kuczer,30,172
Marek Mrozek,31,191
Jerzy Janowicz,31,187
Luis David Martinez,26,175
Laurynas Grigelis,32,175
Stefano Valenti,27,193
Luis Ramos,28,174
Vladimir Karusevich,26,199
Dusan Lajovic,34,170
Evgeny Donskoy,21,177
Andrea Volpini,31,197
Ivan Djurdjevic,20,194
Riccardo Rondinelli,27,170
Mariano Benedicti,24,190
Andrea Collarini,34,197
Tin Prpic,20,175
Mario Jakovljevic,20,189
Ze Zhang,29,183
Mike Steinherr,29,180
Hsien Yin Peng,34,171
Roy Kalmanovich,36,190
Andrzej Mach,25,199
Jake Mak,22,199
Leander Van Der Vaart,32,173
David Souto,35,182
Mlandeli Ndlela,27,176
Ilya Belyaev,34,175
Mikhail Fufygin,36,172
Dusan Miljevic,36,178
Jaromir Linek,32,183
Ilija Vucic,36,189
Ante Pavic,25,180
Tomislav Ternar,36,174
Marko Mijacevic,35,183
Pavel Schalomov,33,188
Pedro Feitosa,32,177
Tim Hewitt,25,196
Ryan Stotland,22,176
Juan Lopez Vico,33,196
Eddy Roy Balummel,33,196
Claudio Rizzo,34,176
Dino Bilankov,27,193
Boran Poljancic,34,192
Deni Zmak,32,172
Kristopher Sotiriu,36,172
Pascal Brunner,22,187
Alexandar Lazov,25,182
Ashot Gevorgyan,24,170
Andrei Papazian,36,174
Arko Zoutendijk,21,197
Marco Pezzali,34,173
Filippo Leonardi,24,185
Alexandru Raul Musat,25,184
Alexandru Joitoiu,25,198
Valentin Palas,37,196
Marco Mokrzycki,37,187
Dennis Bloemke,23,186
Ross Wilson,36,183
Kenny De Schepper,33,183
Yannick Fattebert,33,188
Mateusz Szmigiel,32,198
Anton Manegin,26,175
Alexei Miller,31,182
Maxim Kanakov,34,187
Thales Turini,30,195
Gustavo Kleine,34,184
Rodrigo Perez,31,198
Krisztian Krocsko,22,192
Michael Linzer,36,196
Nikita Matsulenko,22,176
Ryusei Makiguchi,23,196
Emiliano Mina,22,188
Chris Haggard,35,199
Janez Semrajc,31,186
Holger Zuehlsdorff Pavlovic,27,178
Artem Strunnikov,36,180
Carlos Gomez Herrera,26,174
Ko Suzuki,30,171
Soren Wedege,37,184
Steve Johnson,20,193
Will Gray,22,181
Alexandre Penaud,23,179
German Gaich,32,179
Jean Noel Insausti,25,189
Jaan Frederik Brunken,33,180
Marcus Daniell,24,179
Andrew Thomas,35,197
Adrian Contreras,34,176
Aleksandar Cucuz,34,183
Cesar Ramirez,23,182
Robert Raguz,27,174
Alvaro Raposo De Oliveira,35,198
Gaston Briano,35,188
Cesar Bracho,23,179
Jose Nascimento,32,177
Harry Skinner,32,187
Alexander Pelaez Herrera,21,170
Jarmere Jenkins,22,174
Fernando Marquez,27,180
Ignacio Martire,34,189
Kaden Hensel,30,180
Alan Poric,28,185
Robert Phillips,26,179
Nicolas Pastor,32,184
Ricardo Siggia,21,176
Michael Pille,27,184
Chen Ye,26,198
Ye Dunbar,31,194
Di Wu,26,185
Gustavo Junqueira De Andrade,29,175
Bruno Tiberti,35,180
Henri Kontinen,22,186
Austin Krajicek,29,184
Alexei Grigorov,25,185
Andrej Martin,37,193
Yasir Khan,37,171
Alexander Gigitashvili,24,173
Hyun Soo Lim,26,188
Andrew Fitzpatrick,21,175
Jalil Khan,30,187
Kamil Pajkowski,32,190
Michel Alexandre Rioux,24,180
Willian Franco,25,178
Strahinja Bobusic,33,172
Marcus Willis,31,171
Bo Sung Kim,23,187
Juan Sebastian Vivanco,25,184
Nysan Tan,29,194
Baptiste Bayet,37,191
Tanveer Ashiq,34,187
Arnaud Agniel,27,188
Ryan Mcbride,28,184
Uriel Oquendo,24,199
Salvatore Carbone,29,186
Uladzimir Ignatik,25,187
Milos Sekulic,35,187
Matthias Dorfler,22,180
James Feaver,29,187
Nai Zheng Yu,30,192
Cristian Lopez,30,172
Marcelo Arevalo,36,182
Andre Brisighello,23,183
Jakub Lustyk,23,196
Sadio Doumbia,36,173
Valter Mori Filho,28,187
Mark Mestan,24,174
Patrick Frandji,25,183
Ryan Harrison,22,194
Ty Trombetta,20,181
Dennis Lajola,35,194
Bart Govaerts,30,176
Guillermo Alcorta Olarra,32,181
Grigor Dimitrov,29,177
Andres Garriga Rivero,22,198
Hans Hach Verdugo,28,199
Whit Livingston,31,190
Hubert Holzler,33,190
John Hoyes,20,197
Lennart Maack,37,172
Jan Axel Tribler,36,191
Sa Chen,28,170
Yong Kyu Lim,28,172
Yuri Radomsky,29,180
Matthew Bright,34,187
Alfredo Moreno,24,176
Benjamin George Levi,34,178
Ashkan Dabiri,21,173
Maxime Teixeira,32,192
Adam El Mihdawy,35,193
John Patrick Smith,34,179
Gilad Ben Zvi,29,187
Laslo Urrutia Fuentes,33,192
Krzystof Muzalewski,29,185
Issam Al Tawil,33,198
Ivan Garcia Castro,28,181
Raphael Shiikuma Pfister,33,188
Michael Nortey,22,193
Edouard Roger-Vasselin,35,191
Nicolas Ngodrela,21,172
Jonathan Wolff,29,177
Marco Antonio Rojas,22,196
Alexander Domijan,30,198
Jurgen Gundera,30,188
Marc Rath,32,178
Bernard Tomic,26,196
Wojciech Starakiewicz,36,188
George Coupland,21,186
Guillermo Rivera Aranguiz,31,182
Alejandro Dominguez,29,171
Jose Antonio Fuentes Tevar,37,173
David Bidmeade,30,198
Patrick Ganet,35,180
Francois Arthur Vibert,36,171
Clifford Marsland,37,173
Andrew Gregory,22,173
Matthew Hicks,35,189
Stephen Hoh,25,170
Nick Trkulja,31,194
Brendan Mckenzie,30,195
Adam Hubble,34,180
Noam Yitzhaki,34,192
Taiwo Owolabi,35,171
Clifford Enosoregbe,29,188
Jarmaine Jenkins,31,198
Guillem Closa Puncernau,32,177
Finn Tearney,23,192
Nicholas Edlefsen,26,189
Miliaan Niesten,21,173
Davide Della Tommasina,34,194
Colin Purcell,27,185
Brendan Moore,26,184
Jared Easton,34,174
Tadej Turk,33,199
Steven Diez,27,198
Ryan Young,31,196
Takahiro Inoue,32,174
Maxime Quinqueneau,30,184
Rifat Biktyakov,36,192
Tarek El Esawy,36,186
Nicolas Beuque,23,172
Antonio Di Gaetano,27,187
Enrico Fioravante,24,180
Ignacio Morente Gemas,35,195
Guillaume Rufin,23,175
Aditya Hari Sasongko,34,196
Ricardo Mena,31,181
Dmitry Frumkin,24,191
Bryan Wooten,35,195
Miguel Almeida,33,186
Axel Michon,29,199
Alexander Lobkov,26,183
Mihai Parvan,32,175
Robert Coman,24,179
Joao Victor Costa,22,185
Giacomo Miccini,34,187
Raul Isaias Rosas Zarur,23,196
Ju Hae Moon,34,189
Filip Krajinovic,33,175
Constantin Cristian Tanase,32,188
Tzvetan Mihov,29,172
Georgi Jordanov,24,181
Jose Daniel Bendeck,25,185
Stanislav Bykov,23,172
Nicolas Pizzi,21,185
Henrique Cunha,35,173
